n,Find SIMD (O2),Insert Cache (O3)
3,392,169
4,545,250
5,695,330
6,843,429
7,1011,519
8,1248,651
9,1383,749
10,1518,879
11,1687,974
12,1858,1096
13,2024,1341
14,2202,1524
15,2437,1762
16,2639,1939
17,2615,2142
18,2742,2336
19,2899,2520
20,3058,2647
21,3223,2831
22,3396,3007
23,3578,3270
24,3778,3391
25,3898,3576
26,3969,3775
27,4129,3669
28,4289,3869
29,4458,4125
30,4630,4269
31,4807,4475
32,5010,4612
33,5347,4816
34,5497,4962
35,5605,5466
36,5780,5589
37,5967,5770
38,6167,5973
39,6345,6196
40,6563,6352
41,6757,6565
42,6959,6717
43,7138,6711
44,7267,6938
45,7494,7139
46,7652,7340
47,7867,7609
48,8149,7614
49,8623,7835
50,8761,8107
51,9018,8383
52,9128,8729
53,9329,8867
54,9545,8949
55,9822,9135
56,9967,9333
57,10213,9597
58,10429,9767
59,10551,9941
60,10743,10177
61,10998,10354
62,11201,10543
63,11352,10851
64,11568,10965
65,12046,11137
66,12211,11393
67,12475,11450
68,12655,11636
69,12871,11851
70,13079,12049
71,13290,12288
72,13522,12568
73,14118,12793
74,14333,13022
75,14460,13719
76,14722,13413
77,14946,13700
78,15176,13918
79,15348,14146
80,15656,14157
81,16313,14386
82,16473,14676
83,16611,14792
84,16869,15009
85,17101,15310
86,17332,15369
87,17516,15686
88,17848,15917
89,17662,16156
90,17829,16419
91,18039,17703
92,18233,16934
93,18439,17183
94,18671,17432
95,18929,17659
96,19135,17719
97,19969,18026
98,20160,18328
99,20322,18419
100,20624,18674
