n,Bubble Sort Fast,Insertion Sort Fast,Pseudo AVX Sort,Pseudo AVX Sort (Binary Search),Heap
119,13.903893,4.768162,6.113039,5.113365,4.478794
120,14.122653,4.833672,6.188135,5.151390,4.541022
121,14.346140,4.904402,6.295742,5.207087,4.575636
122,14.574434,5.014190,6.395792,5.272350,4.651702
123,14.801868,5.084515,6.493030,5.340207,4.688214
124,15.015056,5.126340,6.591362,5.391682,4.738937
125,15.251902,5.189345,6.685065,5.458202,4.794914
126,15.480537,5.263857,6.782598,5.518758,4.861157
127,15.707380,5.338109,6.886992,5.568466,4.913080
128,15.941207,5.405752,7.012124,5.655132,4.955785
