n,Find SIMD (O2),Insert Cache (O3)
3,39,16
4,54,25
5,69,33
6,84,43
7,100,52
8,123,64
9,136,73
10,149,87
11,166,98
12,182,109
13,198,134
14,215,153
15,233,174
16,256,193
17,254,214
18,267,234
19,282,252
20,298,266
21,313,284
22,328,301
23,346,322
24,364,339
25,372,359
26,383,379
27,399,368
28,413,388
29,429,408
30,444,428
31,466,456
32,492,471
33,517,491
34,531,506
35,547,550
36,564,563
37,587,589
38,598,601
39,613,622
40,632,641
41,651,661
42,662,680
43,680,681
44,695,704
45,716,725
46,736,748
47,753,768
48,762,766
49,819,794
50,839,825
51,856,850
52,873,881
53,888,898
54,910,912
55,930,926
56,950,943
57,974,964
58,986,987
59,1004,1006
60,1020,1027
61,1039,1049
62,1055,1070
63,1072,1100
64,1093,1105
65,1138,1128
66,1152,1151
67,1169,1161
68,1188,1176
69,1204,1201
70,1224,1222
71,1243,1247
72,1259,1280
73,1295,1302
74,1311,1318
75,1329,1412
76,1342,1359
77,1364,1382
78,1380,1461
79,1398,1427
80,1423,1433
81,1522,1459
82,1538,1483
83,1557,1473
84,1548,1497
85,1567,1521
86,1589,1534
87,1611,1560
88,1697,1595
89,1615,1627
90,1632,1632
91,1647,1768
92,1664,1686
93,1711,1714
94,1707,1738
95,1728,1758
96,1741,1766
97,1834,1818
98,1867,1854
99,1877,1831
100,1896,1878
