n,Find SIMD (O2),Insert Cache (O3)
3,392,169
4,545,250
5,696,332
6,844,431
7,1010,521
8,1247,663
9,1383,752
10,1520,885
11,1688,1018
12,1855,1101
13,2024,1340
14,2202,1524
15,2397,1736
16,2637,1938
17,2621,2199
18,2739,2336
19,2897,2518
20,3058,2647
21,3226,2832
22,3396,3006
23,3577,3257
24,3777,3393
25,3900,3579
26,3971,3829
27,4131,3675
28,4342,3869
29,4463,4125
30,4638,4314
31,4814,4523
32,5069,4611
33,5347,4815
34,5435,5023
35,5606,5454
36,5779,5535
37,5961,5731
38,6155,5913
39,6357,6185
40,6564,6375
41,6755,6571
42,6951,6728
43,7138,6709
44,7261,6926
45,7452,7136
46,7655,7396
47,7921,7546
48,8147,7616
49,8620,7886
50,8822,8086
51,8947,8397
52,9141,8742
53,9394,8885
54,9540,8943
55,9761,9123
56,10035,9317
57,10209,9588
58,10422,9760
59,10552,9943
60,10753,10196
61,11000,10364
62,11196,10564
63,11363,10796
64,11566,10930
65,12049,11159
66,12213,11379
67,12405,11509
68,12606,11688
69,12805,11902
70,13015,12341
71,13234,12590
72,13455,12526
73,14111,12782
74,14308,12958
75,14528,13718
76,14671,13468
77,14891,13645
78,15147,13861
79,15345,14138
80,15655,14158
81,16301,14425
82,16408,14653
83,16670,14808
84,16824,15013
85,17102,15309
86,17279,15381
87,17567,15687
88,17835,15868
89,17606,16113
90,17835,16413
91,18044,17764
92,18181,16943
93,18459,17187
94,18672,17417
95,18903,17677
96,19125,17738
97,19965,18016
98,20140,18331
99,20373,18373
100,20582,18719
