n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,54,25
5,70,34
6,87,43
7,103,53
8,126,64
9,137,76
10,150,87
11,166,98
12,182,108
13,199,135
14,216,157
15,235,177
16,257,195
17,256,216
18,269,235
19,283,254
20,298,266
21,314,285
22,331,303
23,348,323
24,366,342
25,373,360
26,385,380
27,401,373
28,416,392
29,432,411
30,447,432
31,463,451
32,480,463
33,511,483
34,523,499
35,539,546
36,556,555
37,573,577
38,590,595
39,610,616
40,627,634
41,643,654
42,656,675
43,673,675
44,689,696
45,705,719
46,726,737
47,743,757
48,761,767
49,818,788
50,829,813
51,847,839
52,862,867
53,879,889
54,898,889
55,918,915
56,939,992
57,961,954
58,975,980
59,995,996
60,1012,1019
61,1025,1038
62,1102,1060
63,1065,1086
64,1082,1096
65,1130,1117
66,1139,1137
67,1159,1147
68,1175,1166
69,1190,1185
70,1208,1211
71,1223,1228
72,1246,1252
73,1282,1277
74,1294,1298
75,1316,1379
76,1331,1346
77,1409,1370
78,1371,1391
79,1390,1414
80,1409,1423
81,1563,1445
82,1518,1466
83,1537,1478
84,1553,1506
85,1628,1528
86,1593,1540
87,1611,1567
88,1637,1590
89,1635,1615
90,1638,1644
91,1659,1774
92,1668,1694
93,1685,1769
94,1717,1740
95,1737,1766
96,1756,1778
97,1838,1808
98,1855,1837
99,1871,1834
100,1949,1869
