n,Find SIMD (O2),Insert Cache (O3)
3,399,171
4,554,260
5,708,349
6,855,431
7,1018,526
8,1271,660
9,1408,757
10,1544,891
11,1754,990
12,1877,1108
13,2047,1366
14,2229,1543
15,2428,1754
16,2691,1976
17,2671,2183
18,2794,2382
19,2926,2550
20,3121,2700
21,3291,2900
22,3453,3060
23,3637,3267
24,3838,3453
25,3907,3646
26,4034,3839
27,4203,3741
28,4363,3945
29,4541,4145
30,4707,4343
31,4887,4546
32,5096,5043
33,5412,5258
34,5527,5049
35,5714,5493
36,5908,5609
37,6086,5836
38,6238,6008
39,6443,6230
40,6703,6485
41,6894,6687
42,6998,6865
43,7229,6823
44,7401,7050
45,7587,7271
46,7806,7493
47,8036,7695
48,8240,7732
49,8764,7975
50,8916,8223
51,9095,8516
52,9303,8818
53,9504,9063
54,9705,9078
55,9935,9316
56,10161,9479
57,10398,9675
58,10649,9928
59,10720,9983
60,10932,10147
61,11122,10505
62,11325,10719
63,11530,11077
64,11750,11089
65,12071,11255
66,12286,11424
67,12477,11467
68,12676,11645
69,12886,11866
70,13091,12095
71,13286,12331
72,13528,12583
73,14137,12828
74,14282,13090
75,14540,13708
76,14699,13488
77,14959,13656
78,15137,13934
79,15405,14103
80,15661,14229
81,16316,14398
82,16491,14656
83,16689,14757
84,16850,15275
85,17067,15520
86,17361,15487
87,17544,15641
88,17883,15916
89,17685,16244
90,17890,16696
91,18098,18060
92,18440,17042
93,18430,17211
94,18676,17409
95,18856,17647
96,19104,17747
97,19935,18041
98,20179,18288
99,20523,18600
100,20569,18739
