n,Find SIMD (O2),Insert Cache (O3)
3,392,169
4,545,250
5,696,329
6,844,431
7,1011,521
8,1248,651
9,1383,748
10,1518,881
11,1687,975
12,1852,1096
13,2024,1347
14,2203,1523
15,2398,1735
16,2639,1938
17,2616,2143
18,2742,2341
19,2899,2518
20,3058,2647
21,3221,2832
22,3399,3007
23,3576,3211
24,3798,3390
25,3848,3586
26,3967,3773
27,4129,3677
28,4290,3869
29,4456,4067
30,4685,4271
31,4804,4530
32,5015,4610
33,5298,4814
34,5433,4967
35,5608,5405
36,5843,5538
37,6020,5734
38,6224,5914
39,6405,6125
40,6627,6315
41,6763,6521
42,6896,6719
43,7080,6761
44,7256,6979
45,7499,7147
46,7662,7357
47,7879,7608
48,8157,7616
49,8619,7832
50,8768,8149
51,8999,8379
52,9130,8721
53,9376,8864
54,9608,8899
55,9754,9171
56,10034,9314
57,10215,9576
58,10425,9756
59,10550,9890
60,10799,10129
61,10938,10401
62,11143,10597
63,11349,10865
64,11621,10896
65,12108,11107
66,12259,11330
67,12468,11456
68,12654,11633
69,12805,11846
70,13022,12050
71,13234,12290
72,13520,12509
73,14172,12741
74,14336,13026
75,14523,13667
76,14714,13416
77,15020,13644
78,15188,13931
79,15347,14135
80,15643,14157
81,16378,14387
82,16475,14648
83,16669,14803
84,16887,15015
85,17175,15252
86,17296,15478
87,17519,15680
88,17808,15932
89,17670,16138
90,17822,16504
91,18039,17947
92,18162,16953
93,18434,17190
94,18668,17376
95,18902,17657
96,19148,17748
97,19976,18020
98,20144,18327
99,20373,18397
100,20530,18726
