n,Tournament Tree,Tournament Cache,Tournament External,Tournament External Cache,Tournament Branchless,Tournament Cache Branchless,Tournament External Branchless,Tournament External Cache Branchless
3,34,27,27,21,31,22,24,23
4,58,46,49,41,54,25,41,33
5,93,70,77,61,81,39,48,38
6,115,79,96,75,93,46,59,48
7,142,106,129,99,126,51,74,57
8,169,121,153,120,148,56,88,67
9,209,153,189,147,186,73,107,78
10,246,182,220,172,219,90,124,90
11,284,208,254,199,249,104,142,102
12,320,222,284,217,270,108,162,114
13,358,256,321,246,315,113,179,126
14,396,277,354,270,343,119,197,139
15,430,296,387,293,373,125,216,151
16,456,313,415,312,397,129,232,163
17,515,355,460,347,445,149,253,177
18,561,395,503,379,489,167,276,190
19,604,434,548,411,536,185,296,204
20,646,466,584,438,575,204,317,218
21,690,501,630,474,619,220,338,232
22,735,529,663,497,651,231,362,246
23,780,551,697,518,684,238,383,261
24,821,573,734,546,711,244,403,274
25,871,607,787,580,759,251,425,289
26,906,635,830,613,800,258,447,303
27,954,659,869,642,835,265,466,317
28,995,682,905,667,868,274,488,332
29,1034,708,945,694,905,282,510,346
30,1077,732,984,720,939,291,532,360
31,1117,756,1019,745,975,300,555,375
32,1147,780,1056,772,1004,309,576,387
33,1213,827,1109,813,1065,327,601,406
34,1269,874,1162,850,1117,345,627,423
35,1315,920,1212,885,1172,363,652,438
36,1366,967,1261,922,1224,382,677,456
37,1416,1013,1312,960,1282,401,703,472
38,1473,1055,1364,996,1333,421,729,489
39,1523,1096,1410,1032,1385,441,754,506
40,1568,1143,1457,1064,1432,461,780,523
41,1622,1176,1511,1104,1490,481,811,540
42,1680,1215,1561,1141,1540,498,833,557
43,1724,1251,1609,1176,1584,515,859,575
44,1778,1286,1659,1206,1623,527,884,592
45,1826,1322,1701,1237,1664,538,911,610
46,1864,1356,1739,1261,1698,548,939,627
47,1915,1389,1784,1295,1735,557,966,644
48,1974,1422,1826,1328,1771,565,992,663
49,2021,1460,1881,1363,1824,574,1017,681
50,2068,1497,1932,1404,1875,583,1044,699
51,2115,1531,1981,1434,1926,593,1074,717
52,2167,1563,2030,1466,1971,603,1096,738
53,2220,1597,2075,1504,2019,613,1127,753
54,2273,1628,2125,1538,2062,624,1149,773
55,2319,1660,2169,1565,2106,635,1177,791
56,2375,1691,2213,1596,2144,647,1203,809
57,2422,1725,2259,1632,2192,657,1230,828
58,2468,1757,2310,1665,2236,668,1257,851
59,2514,1789,2351,1697,2280,680,1284,865
60,2567,1820,2394,1728,2322,692,1310,885
61,2618,1853,2443,1757,2367,704,1338,904
62,2672,1885,2486,1795,2409,720,1366,922
63,2715,1918,2533,1822,2452,729,1393,942
64,2771,1950,2578,1859,2494,742,1419,960
65,2814,2002,2641,1949,2556,763,1450,984
66,2885,2051,2701,1992,2615,788,1481,1002
67,2945,2101,2760,2029,2676,810,1516,1022
68,2986,2147,2820,2071,2733,833,1540,1043
69,3057,2196,2881,2110,2797,855,1574,1063
70,3108,2242,2941,2153,2854,877,1603,1082
71,3163,2288,2997,2188,2913,898,1632,1102
72,3210,2335,3050,2229,2969,919,1668,1122
73,3282,2381,3115,2267,3032,940,1692,1140
74,3333,2427,3178,2308,3095,960,1722,1161
75,3406,2471,3237,2347,3152,981,1752,1180
76,3448,2513,3292,2384,3209,1002,1782,1197
77,3510,2557,3353,2421,3268,1023,1812,1221
78,3572,2600,3405,2458,3324,1044,1843,1236
79,3628,2641,3462,2494,3383,1067,1874,1256
80,3673,2684,3521,2532,3437,1090,1904,1275
81,3745,2729,3584,2575,3502,1110,1934,1296
82,3809,2775,3649,2619,3568,1133,1965,1317
83,3854,2818,3711,2656,3628,1154,1994,1338
84,3915,2862,3767,2694,3686,1175,2025,1360
85,3974,2906,3820,2731,3744,1194,2054,1382
86,4034,2950,3882,2765,3797,1213,2084,1406
87,4082,2991,3933,2803,3850,1231,2115,1428
88,4135,3033,3983,2833,3897,1247,2146,1451
89,4179,3078,4040,2870,3954,1262,2175,1478
90,4260,3120,4094,2905,4008,1276,2207,1496
91,4299,3163,4146,2946,4061,1288,2237,1521
92,4352,3203,4197,2977,4109,1301,2268,1542
93,4420,3245,4249,3013,4163,1316,2313,1568
94,4473,3286,4296,3051,4211,1328,2350,1586
95,4531,3328,4347,3079,4261,1340,2368,1608
96,4584,3365,4397,3105,4309,1351,2400,1634
97,4637,3407,4471,3159,4375,1364,2431,1652
98,4688,3450,4527,3220,4442,1376,2462,1673
99,4759,3490,4592,3256,4503,1387,2495,1696
100,4823,3532,4654,3297,4568,1399,2527,1717
