n,Find SIMD (O2),Insert Cache (O3)
3,392,169
4,547,251
5,696,330
6,844,428
7,1011,520
8,1246,666
9,1384,753
10,1518,887
11,1688,969
12,1851,1155
13,2024,1340
14,2205,1522
15,2398,1789
16,2637,1935
17,2617,2141
18,2743,2342
19,2902,2522
20,3072,2646
21,3225,2832
22,3415,3006
23,3578,3209
24,3778,3390
25,3847,3578
26,3966,3774
27,4183,3671
28,4288,3868
29,4460,4067
30,4628,4272
31,4855,4478
32,5014,4646
33,5306,4815
34,5435,4964
35,5610,5422
36,5783,5574
37,6020,5836
38,6405,6014
39,6601,6179
40,6582,6312
41,6813,6515
42,6955,6715
43,7076,6711
44,7266,6923
45,7453,7191
46,7676,7399
47,7920,7545
48,8093,7637
49,8618,7901
50,8809,8279
51,8938,8428
52,9035,8816
53,9185,9021
54,9601,8894
55,9760,9119
56,10026,9317
57,10210,9584
58,10423,9753
59,10614,9886
60,10743,10174
61,10994,10338
62,11196,10543
63,11358,10855
64,11566,10956
65,12049,11165
66,12218,11337
67,12459,11447
68,12667,11640
69,12880,11853
70,13067,12051
71,13288,12340
72,13513,12564
73,14112,12792
74,14265,13018
75,14511,13664
76,14713,13470
77,14894,13643
78,15167,13864
79,15413,14152
80,15653,14226
81,16251,14446
82,16468,14682
83,16612,14802
84,16875,15043
85,17098,15261
86,17329,15437
87,17587,15628
88,17775,15864
89,17730,16113
90,17824,16361
91,18045,17769
92,18219,16941
93,18448,17184
94,18670,17404
95,18901,17668
96,19135,17749
97,19961,18018
98,20169,18300
99,20362,18413
100,20639,18660
