n,Find,Find Cache,Find Pair,Find Multiway,Find Multiway Cache,Find Multiway Var,Find Branchless Cache,Find Branchless Cache Unrolled
3,2230,2209,2628,1617,1936,1580,1334,1388
4,3573,3581,4296,2745,3139,2770,1849,1939
5,6051,5153,4508,4098,4439,4263,2510,2685
6,8610,6613,6190,6046,5944,5723,3165,4330
