n,Find (Cache SIMD),Insert (Cache),Heap (Cache),Tournament Tree (Cache)
3,34,16,22,23
4,49,24,29,38
5,63,32,38,56
6,77,40,52,72
7,91,49,69,94
8,110,58,78,108
9,126,68,90,137
10,140,78,104,162
11,155,88,124,185
12,169,99,138,199
13,183,109,157,224
14,199,122,178,243
15,213,133,201,263
16,230,145,212,281
17,245,157,226,313
18,259,168,243,342
19,273,181,264,371
20,288,197,279,396
21,303,209,299,423
22,317,224,320,442
23,367,238,347,462
24,349,254,359,479
25,363,269,385,508
26,377,286,404,533
27,390,302,430,555
28,406,317,452,574
29,422,335,480,596
30,434,352,504,620
31,449,369,534,641
32,466,388,545,663
33,488,407,564,700
34,500,425,580,736
35,516,445,604,775
36,531,466,618,810
37,545,486,645,848
38,562,506,663,882
39,578,527,697,914
40,592,548,703,942
41,637,569,738,979
42,652,590,753,1013
43,665,613,788,1041
44,682,635,799,1068
45,701,657,831,1097
46,719,682,855,1124
47,737,705,890,1203
48,754,730,899,1178
49,817,753,932,1207
50,828,778,946,1238
51,848,805,986,1319
52,864,831,997,1299
53,881,857,1037,1328
54,896,885,1057,1356
55,964,911,1086,1384
56,930,939,1112,1409
57,944,968,1150,1438
58,959,995,1171,1466
59,978,1024,1214,1495
60,992,1054,1232,1524
61,1010,1087,1273,1549
62,1023,1118,1296,1612
63,1043,1149,1336,1607
64,1060,1178,1343,1633
65,1103,1227,1378,1669
66,1112,1240,1392,1708
67,1129,1275,1429,1744
68,1148,1353,1433,1784
69,1160,1338,1472,1824
70,1180,1370,1486,1860
71,1260,1406,1533,1896
72,1218,1438,1529,1930
73,1285,1475,1578,1968
74,1305,1507,1587,2010
75,1324,1542,1638,2043
76,1337,1598,1632,2079
77,1351,1614,1683,2112
78,1376,1649,1691,2143
79,1386,1687,1743,2180
80,1405,1726,1729,2213
81,1449,1765,1794,2246
82,1465,1801,1789,2286
83,1487,1836,1890,2317
84,1496,1880,1841,2352
85,1514,1914,1951,2381
86,1537,1955,1907,2414
87,1552,1994,1966,2451
88,1575,2034,1983,2483
89,1606,2081,2034,2518
90,1633,2123,2031,2557
91,1635,2163,2095,2577
92,1650,2204,2083,2610
93,1677,2249,2206,2638
94,1687,2289,2157,2671
95,1712,2341,2210,2709
96,1722,2372,2190,2740
97,1815,2427,2293,2784
98,1807,2488,2307,2854
99,1832,2541,2366,2870
100,1858,2584,2374,2917
