n,Bubble Sort Fast,Insertion Sort Fast,Heap,State Machine (Compiled),State Machine (Lookup Table),State Machine (Lookup Table Alternative),State Machine (Lookup Table Ascending),State Machine (Binary Search),State Machine (Binary Search Fast)
3,0.496953,0.443764,0.469256,0.448122,0.563950,0.529685,0.543379,0.000001,0.000002
4,0.780912,0.680280,0.808486,0.677049,0.766434,0.756224,0.767079,0.000002,0.000001
5,1.098282,0.920994,1.081082,0.982242,1.177440,1.117757,1.140475,0.000002,0.000002
6,1.461252,1.175714,1.507675,1.474766,1.507959,1.474420,1.490092,0.000001,0.000001
7,1.862261,1.430229,2.071289,0.000005,2.011226,1.998066,2.016397,0.000002,0.000001
8,2.331597,1.750178,2.348676,0.000005,3.542538,3.587125,3.565659,4.715847,5.745790
