n,Find,Find (Cache),Find (Cache SIMD),Insert,Insert (Cache),Heap,Heap (STL Naive),Tournament Tree,Tournament Tree 2,State Machine (Compiled)
3,17,18,39,16,16,18,26,22,23,12
4,28,26,55,25,24,27,40,39,38,20
5,39,35,71,34,32,37,59,55,54,30
6,52,45,86,46,40,53,72,69,67,0
7,64,58,101,56,49,71,94,93,88,0
8,80,70,118,67,59,81,113,111,102,0
9,105,96,127,79,68,93,139,137,127,0
10,135,114,139,89,78,109,153,155,147,0
11,166,134,155,101,88,129,181,175,167,0
12,193,163,171,112,99,145,205,187,177,0
13,218,186,187,127,109,215,236,224,206,0
14,247,212,202,144,122,188,250,244,224,0
15,278,244,219,159,133,214,280,266,241,0
16,311,278,236,175,145,226,298,285,256,0
17,359,312,253,192,156,239,333,321,289,0
18,407,357,266,209,168,257,343,348,318,0
19,435,385,283,225,181,277,380,380,349,0
20,487,412,299,243,195,295,402,404,372,0
21,522,468,317,260,209,317,442,465,400,0
22,557,506,332,278,224,340,448,450,417,0
23,595,538,350,297,240,366,486,467,432,0
24,630,573,365,316,253,385,527,482,447,0
25,669,610,387,335,269,454,567,523,477,0
26,705,643,399,354,285,431,576,554,500,0
27,745,682,412,374,301,460,616,582,521,0
28,781,718,428,390,317,483,639,602,540,0
29,821,758,445,411,334,512,682,627,560,0
30,870,800,462,434,352,543,684,652,581,0
31,909,841,481,453,369,574,727,673,599,0
32,951,888,495,472,388,589,744,695,617,0
33,1020,932,522,488,406,600,796,732,676,0
34,1085,987,535,515,426,622,792,770,687,0
35,1138,1037,549,537,444,643,846,806,722,0
36,1202,1079,569,559,466,662,856,843,804,0
37,1256,1157,582,577,486,684,911,879,789,0
38,1367,1213,602,602,507,713,907,913,819,0
39,1364,1263,620,625,527,736,947,944,851,0
40,1415,1311,635,646,547,758,999,973,874,0
41,1472,1362,661,652,568,779,1041,1012,909,0
42,1533,1413,668,693,589,806,1038,1049,938,0
43,1587,1464,683,705,611,836,1085,1136,963,0
44,1638,1518,701,737,634,863,1095,1100,984,0
45,1699,1571,717,749,657,892,1155,1141,1007,0
46,1758,1622,735,789,682,924,1153,1149,1028,0
47,1821,1673,756,800,704,958,1206,1230,1050,0
48,1884,1732,773,831,728,980,1260,1199,1073,0
49,1949,1788,879,855,753,1000,1315,1228,1101,0
50,2012,1848,832,886,777,1028,1310,1260,1128,0
51,2077,1899,848,912,803,1066,1365,1295,1155,0
52,2186,1958,865,939,829,1096,1380,1319,1179,0
53,2211,2017,884,952,856,1127,1436,1352,1206,0
54,2272,2078,902,1041,884,1165,1435,1376,1229,0
55,2338,2135,921,1009,913,1203,1487,1405,1256,0
56,2407,2194,941,1041,940,1234,1532,1429,1277,0
57,2478,2256,984,1063,969,1262,1645,1461,1305,0
58,2567,2317,995,1084,994,1298,1587,1488,1328,0
59,2620,2386,1014,1095,1022,1338,1636,1517,1350,0
60,2690,2443,1088,1131,1056,1378,1653,1543,1375,0
61,2757,2567,1048,1161,1087,1410,1713,1572,1398,0
62,2837,2573,1071,1192,1156,1448,1707,1602,1422,0
63,2903,2634,1091,1213,1147,1485,1770,1628,1446,0
64,2975,2701,1160,1238,1178,1508,1784,1654,1468,0
65,3058,2768,1145,1261,1209,1526,1901,1698,1508,0
66,3137,2889,1164,1280,1240,1546,1841,1742,1546,0
67,3210,2905,1181,1302,1332,1573,1902,1785,1585,0
68,3291,2973,1199,1329,1304,1600,1905,1827,1622,0
69,3372,3048,1218,1354,1338,1619,1972,1869,1659,0
70,3456,3114,1270,1383,1371,1651,1954,1909,1694,0
71,3527,3183,1256,1404,1403,1679,2030,2005,1732,0
72,3613,3255,1281,1441,1438,1705,2064,1986,1767,0
73,3692,3330,1330,1470,1472,1724,2165,2032,1805,0
74,3777,3401,1343,1493,1506,1750,2169,2076,1843,0
75,3860,3527,1361,1522,1542,1784,2167,2114,1878,0
76,3941,3591,1381,1547,1577,1813,2173,2151,1913,0
77,4029,3679,1398,1571,1613,1835,2252,2192,1950,0
78,4114,3739,1419,1598,1651,1870,2224,2230,1981,0
79,4199,3771,1439,1630,1690,1906,2355,2266,2015,0
80,4297,3858,1462,1668,1722,1936,2366,2298,2046,0
81,4378,3930,1479,1749,1761,1951,2422,2347,2085,0
82,4460,4005,1544,1718,1801,1984,2402,2385,2117,0
83,4546,4086,1511,1748,1837,2014,2474,2421,2207,0
84,4642,4165,1531,1777,1905,2054,2475,2462,2185,0
85,4816,4327,1555,1829,1943,2110,2590,2527,2214,0
86,4851,4410,1592,1863,1975,2144,2568,2552,2271,0
87,4992,4469,1611,1889,2023,2188,2645,2579,2300,0
88,5023,4545,1634,1935,2035,2192,2684,2608,2321,0
89,5150,4576,1674,2007,2108,2225,2709,2610,2327,0
90,5190,4658,1747,1965,2117,2313,2695,2636,2349,0
91,5350,4739,1711,1998,2165,2291,2749,2667,2371,0
92,5386,4826,1723,2025,2202,2329,2801,2691,2401,0
93,5483,4915,1802,2060,2249,2370,2831,2719,2425,0
94,5681,5023,1765,2092,2323,2440,2848,2756,2448,0
95,5778,5177,1817,2149,2361,2475,2925,2812,2512,0
96,5901,5195,1833,2185,2396,2497,2969,2814,2530,0
97,5967,5314,1929,2232,2463,2510,3061,2883,2564,0
98,6062,5447,1931,2248,2505,2544,3080,2959,2584,0
99,6124,5499,1959,2275,2563,2607,3172,2940,2622,0
100,6220,5558,2017,2317,2586,2649,3108,3001,2668,0
