n,Find SIMD (O2),Insert Cache (O3)
3,399,169
4,545,250
5,696,329
6,862,428
7,1030,523
8,1271,658
9,1383,752
10,1518,879
11,1687,967
12,1852,1098
13,2022,1341
14,2202,1523
15,2398,1757
16,2636,1938
17,2616,2141
18,2742,2335
19,2900,2522
20,3058,2707
21,3225,2834
22,3397,3064
23,3576,3210
24,3777,3390
25,3903,3580
26,3964,3776
27,4127,3670
28,4290,3868
29,4468,4070
30,4627,4270
31,4817,4475
32,5011,4611
33,5345,4811
34,5484,4965
35,5605,5405
36,5776,5540
37,5962,5735
38,6152,5911
39,6395,6127
40,6617,6314
41,6822,6507
42,6899,6772
43,7077,6747
44,7261,6928
45,7452,7140
46,7719,7348
47,7867,7604
48,8094,7613
49,8657,7830
50,8765,8150
51,9005,8381
52,9129,8723
53,9372,8863
54,9530,8951
55,9798,9131
56,9977,9364
57,10251,9521
58,10404,9794
59,10591,9914
60,10793,10117
61,10963,10408
62,11143,10597
63,11352,10849
64,11624,10898
65,12100,11102
66,12240,11329
67,12404,11502
68,12604,11685
69,12806,11905
70,13017,12102
71,13239,12351
72,13451,12569
73,14166,12798
74,14265,13022
75,14460,13781
76,14725,13491
77,14955,13644
78,15178,13873
79,15412,14097
80,15584,14206
81,16306,14385
82,16411,14680
83,16663,14793
84,16823,15061
85,17099,15358
86,17279,15428
87,17577,15632
88,17832,15925
89,17656,16162
90,17826,16360
91,18058,17777
92,18252,16936
93,18447,17180
94,18649,17368
95,18907,17610
96,19131,17729
97,20004,17963
98,20153,18264
99,20379,18372
100,20588,18723
