n,Tournament Cache Branchless (O3),Tournament External Cache Branchless (O3, GCC)
3,2,2
4,2,2
5,3,4
6,4,4
7,5,5
8,5,5
9,7,7
10,9,8
11,10,9
12,10,10
13,11,11
14,12,11
15,12,12
16,13,13
17,15,14
18,17,16
19,18,17
20,20,19
21,22,20
22,23,20
23,24,21
24,24,22
25,25,23
26,26,24
27,27,24
28,28,25
29,28,26
30,29,27
31,30,28
32,31,29
33,33,31
34,35,32
35,37,34
36,39,35
37,40,37
38,42,38
39,44,40
40,45,42
41,47,43
42,49,44
43,50,45
44,52,46
45,53,47
46,54,48
47,55,49
48,56,50
49,57,51
50,57,52
51,58,53
52,59,55
53,60,56
54,61,57
55,62,58
56,63,59
57,64,60
58,65,61
59,67,62
60,68,63
61,69,64
62,70,66
63,71,67
64,72,69
65,75,70
66,77,71
67,79,73
68,81,76
69,83,77
70,85,79
71,88,81
72,90,83
73,92,84
74,94,86
75,96,88
76,98,89
77,100,91
78,103,93
79,104,95
80,107,97
81,109,98
82,111,100
83,113,102
84,115,103
85,117,105
86,119,108
87,120,108
88,122,110
89,124,112
90,126,113
91,127,115
92,129,116
93,130,118
94,131,120
95,133,121
96,135,122
97,135,124
98,137,125
99,138,127
100,139,128
101,140,130
102,141,131
103,143,133
104,143,134
105,145,135
106,146,136
107,147,138
108,148,139
109,149,140
110,151,142
111,152,143
112,153,144
113,153,145
114,155,146
115,156,148
116,157,149
117,159,150
118,159,151
119,161,153
120,162,155
121,163,155
122,165,157
123,166,158
124,167,159
125,168,161
126,169,162
127,171,163
128,172,165
129,174,166
130,177,168
131,179,170
132,181,172
133,183,174
134,185,176
135,187,177
136,190,180
137,192,181
138,195,183
139,197,185
140,199,187
141,202,189
142,204,190
143,206,193
144,209,195
145,211,196
146,214,198
147,216,200
148,218,202
149,221,203
150,223,205
151,226,207
152,228,208
153,230,210
154,233,212
155,235,214
156,237,215
157,239,217
158,242,219
159,244,220
160,246,223
161,248,224
162,251,226
163,252,228
164,255,229
165,257,230
166,259,232
167,261,234
168,263,235
169,265,237
170,267,238
171,268,240
172,270,242
173,272,243
174,273,244
175,274,246
176,276,247
177,278,248
178,279,250
179,281,252
180,282,253
181,283,254
182,284,256
183,285,257
184,287,259
185,288,260
186,289,261
187,290,263
188,291,264
189,292,266
190,293,267
191,294,268
192,295,270
193,296,272
194,298,272
195,298,274
196,300,276
197,301,277
198,302,279
199,303,280
200,305,282
201,306,283
202,306,285
203,307,286
204,309,287
205,310,289
206,311,290
207,312,292
208,314,293
209,314,295
210,316,296
211,317,298
212,319,299
213,320,301
214,321,302
215,322,303
216,323,305
217,325,307
218,326,308
219,327,309
220,328,311
221,330,312
222,331,314
223,332,315
224,334,317
225,334,318
226,336,320
227,337,321
228,338,323
229,340,324
230,341,325
231,342,327
232,344,329
233,345,330
234,346,331
235,348,333
236,349,334
237,350,336
238,352,337
239,353,339
240,354,340
241,356,342
242,357,343
243,359,345
244,360,347
245,361,348
246,363,349
247,364,351
248,366,353
249,367,354
250,368,356
251,370,357
252,371,359
253,373,361
254,374,363
255,375,365
256,377,372
257,380,368
258,383,369
259,385,370
260,388,372
261,390,373
262,393,375
263,395,377
264,398,378
265,401,380
266,403,382
267,405,383
268,408,385
269,410,387
270,413,389
271,416,390
272,418,392
273,421,394
274,423,396
275,426,397
276,428,399
277,431,401
278,434,403
279,436,405
280,438,407
281,442,408
282,444,410
283,447,412
284,449,414
285,451,416
286,454,417
287,457,419
288,460,421
289,462,423
290,464,425
291,467,427
292,470,428
293,472,430
294,474,432
295,477,434
296,480,436
297,483,437
298,485,439
299,488,441
300,490,443
301,493,444
302,496,446
303,497,448
304,500,449
305,503,451
306,505,453
307,508,454
308,511,456
309,513,458
310,516,459
311,518,461
312,521,463
313,523,465
314,526,466
315,529,468
316,531,469
317,534,472
318,536,473
319,539,475
320,541,477
321,544,479
322,546,480
323,549,482
324,551,483
325,554,486
326,556,487
327,559,489
328,562,491
329,564,493
330,566,494
331,568,496
332,571,498
333,573,499
334,575,502
335,578,503
336,580,505
337,582,507
338,584,509
339,586,510
340,589,512
341,591,514
342,593,515
343,595,518
344,596,519
345,599,521
346,601,523
347,603,524
348,604,526
349,606,528
350,608,529
351,609,531
352,611,533
353,613,535
354,615,536
355,617,538
356,617,540
357,620,541
358,622,543
359,623,545
360,625,547
361,626,548
362,628,550
363,629,551
364,631,553
365,633,555
366,634,557
367,635,558
368,637,560
369,639,561
370,640,563
371,642,565
372,643,567
373,644,568
374,645,570
375,647,572
376,649,574
377,651,575
378,652,577
379,654,579
380,655,579
381,656,582
382,658,583
383,659,585
384,662,586
385,663,588
386,664,590
387,665,592
388,667,594
389,668,595
390,670,597
391,671,598
392,673,600
393,675,602
394,675,604
395,678,605
396,679,607
397,680,609
398,683,610
399,684,612
400,685,614
401,687,615
402,688,617
403,689,619
404,691,620
405,693,622
406,694,624
407,695,625
408,697,628
409,698,629
410,700,631
411,702,633
412,703,634
413,704,636
414,706,637
415,707,639
416,709,641
417,710,643
418,712,644
419,713,646
420,714,648
421,717,650
422,718,651
423,719,653
424,721,655
425,722,656
426,723,658
427,725,660
428,727,662
429,728,663
430,730,665
431,731,667
432,733,669
433,734,670
434,736,673
435,737,673
436,739,676
437,740,677
438,741,679
439,743,680
440,744,682
441,746,684
442,747,686
443,749,688
444,750,690
445,752,691
446,753,693
447,754,695
448,756,697
449,757,697
450,759,699
451,760,701
452,762,703
453,763,705
454,765,706
455,766,708
456,768,710
457,769,712
458,771,713
459,772,715
460,774,717
461,775,719
462,776,720
463,778,722
464,779,724
465,781,725
466,782,728
467,784,729
468,785,731
469,787,733
470,789,734
471,790,736
472,792,738
473,793,739
474,795,742
475,796,743
476,797,745
477,799,747
478,801,748
479,802,751
480,803,752
481,805,753
482,806,756
483,808,758
484,809,760
485,811,761
486,813,763
487,814,765
488,815,767
489,817,768
490,819,770
491,820,772
492,822,773
493,823,775
494,825,777
495,826,779
496,828,781
497,829,782
498,831,784
499,832,786
500,833,788
501,835,790
502,836,791
503,837,793
504,839,795
505,840,797
506,841,799
507,843,801
508,844,802
509,845,804
510,847,806
511,848,808
512,850,809
513,853,813
514,856,816
515,859,816
516,862,818
517,865,820
518,868,822
519,869,823
520,873,825
521,875,827
522,879,829
523,881,831
524,884,833
525,887,835
526,890,837
527,893,839
528,896,841
529,899,843
530,901,845
531,903,847
532,907,849
533,910,851
534,914,853
535,916,855
536,919,857
537,922,858
538,925,861
539,929,863
540,930,864
541,934,866
542,937,869
543,940,870
544,943,872
545,946,874
546,948,876
547,951,878
548,955,881
549,958,882
