n,Find,Heap Cache,Tournament Tree
306,10743,9037,9540
307,10755,9104,9578
308,11162,9175,9654
309,11215,9132,9673
310,10858,9231,9692
311,10880,9292,9741
312,11327,9258,9819
313,11520,9275,9880
314,11145,9325,9875
315,11161,9444,9961
316,11600,9404,9950
317,11661,9417,10010
318,11264,9480,10048
319,11293,9503,10093
320,11773,9546,10114
321,11975,9558,10157
322,11568,9603,10192
323,11605,9607,10233
324,12074,9683,10273
325,12107,9671,10334
326,11675,9714,10359
327,11734,9740,10402
328,12217,9780,10462
329,12448,9783,10519
330,12041,9833,10539
331,12079,9860,10572
332,12526,9909,10651
333,12581,9918,10660
334,12133,9982,10696
335,12196,10013,10744
336,12770,10039,10784
337,12928,10167,10827
338,12523,10106,10926
339,12535,10122,10961
340,13099,10183,10945
341,13089,10219,11057
342,12632,10238,11096
343,12732,10266,11081
344,13252,10372,11128
345,13415,10445,11206
346,12939,10391,11206
347,12983,10411,11229
348,13498,10467,11259
349,13521,10535,11333
350,13073,10544,11365
351,13113,10576,11400
352,13684,10632,11466
353,13884,10634,11468
354,13396,10721,11513
355,13424,10711,11558
356,13988,10765,11586
357,14011,10769,11648
358,13521,10821,11686
359,13551,10864,11711
360,14140,10890,11763
361,14344,10918,11770
362,13844,10961,11835
363,13891,10990,11859
364,14475,11081,11921
365,14490,11079,11945
366,13984,11184,12040
367,14004,11308,12072
368,14637,11347,12060
369,14840,11241,12173
370,14386,11291,12221
371,14415,11400,12176
372,14928,11358,12263
373,14988,11466,12246
374,14501,11510,12318
375,14486,11531,12396
376,15109,11524,12380
377,15352,11606,12436
378,14869,11641,12518
379,14892,11614,12509
380,15427,11691,12582
381,15562,11710,12572
382,14974,11945,12617
383,14968,11888,12672
384,15631,11963,12684
385,15881,11843,12770
386,15328,11919,12824
387,15331,11920,12789
388,15988,12055,12836
389,16013,12036,12940
390,15461,12211,12915
391,15442,12096,12962
392,16148,12123,12994
393,16403,12101,13102
394,15798,12206,13159
395,15829,12192,13122
396,16468,12280,13220
397,16497,12274,13233
398,15930,12341,13207
399,15963,12408,13259
400,16653,12409,13368
401,16874,12376,13391
402,16245,12442,13404
403,16358,12495,13426
404,16999,12550,13503
405,17039,12509,13546
406,16422,12570,13537
407,16448,12653,13582
408,17151,12716,13682
409,17407,12678,13713
410,16763,12725,13679
411,16786,12745,13732
412,17502,12801,13747
413,17581,12817,13800
414,16882,12905,13843
415,16931,12972,13909
416,17715,12963,13927
417,17940,13158,13934
418,17235,13018,13979
419,17270,13038,14065
420,18064,13111,14099
421,18075,13108,14096
422,17373,13163,14140
423,17399,13214,14210
424,18223,13238,14232
425,18518,13259,14255
426,17767,13337,14336
427,17805,13410,14372
428,18627,13447,14370
429,18667,13442,14416
430,17905,13495,14441
431,17958,13530,14520
432,18798,13569,14528
433,19054,13635,14552
434,18308,13671,14627
435,18354,13675,14647
436,19201,13765,14710
437,19240,13781,14706
438,18457,13855,14752
439,18503,13872,14788
440,19376,14000,14832
441,19624,14009,14841
442,18829,14026,14898
