n,Find SIMD (O2)
3,160
4,218
5,278
6,345
7,407
8,500
9,544
10,595
11,660
12,724
13,832
14,859
15,933
16,1023
17,1038
18,1091
19,1149
20,1210
21,1275
22,1341
23,1412
24,1487
25,1527
26,1575
27,1642
28,1705
29,1761
30,1838
31,1908
32,1983
33,2081
34,2134
35,2203
36,2264
37,2333
38,2406
39,2529
40,2555
41,2638
42,2689
43,2766
44,2839
45,2962
46,2975
47,3054
48,3138
49,3357
50,3410
51,3480
52,3547
53,3623
54,3700
55,3787
56,3861
57,4048
58,4052
59,4107
60,4186
61,4297
62,4328
63,4454
64,4497
65,4771
66,4778
67,4855
68,4938
69,5007
70,5092
71,5165
72,5311
73,5317
74,5385
75,5514
76,5534
77,5604
78,5681
79,5766
80,5845
81,6254
82,6324
83,6413
84,6525
85,6547
86,6631
87,6722
88,6888
89,6867
90,6886
91,6962
92,7045
93,7128
94,7193
95,7291
96,7406
97,7824
98,7909
99,7994
100,8080
