n,Bubble,Bubble Branchless,Bubble Branchless Cache,Bubble Branchless Pair
3,229,234,217,173
4,370,368,336,274
5,546,533,465,386
6,738,707,609,524
7,948,905,772,690
8,1180,1130,948,824
9,1442,1360,1128,1010
10,1736,1611,1329,1184
11,2046,1889,1531,1383
12,2457,2169,1753,1632
13,2735,2495,1976,1833
14,3102,2845,2226,2141
15,3525,3228,2509,2378
16,3943,3593,2754,2658
17,4431,4054,3136,2930
18,5044,4586,3532,3310
19,5705,5041,3929,3702
20,6360,5600,4347,4061
21,7036,6152,4821,4495
22,7737,6763,5282,4916
23,8448,7338,5771,5368
24,9208,7959,6264,5826
25,9971,8579,6732,6284
26,10744,9259,7260,6681
27,11509,9934,7780,7139
28,12283,10636,8453,7527
29,13014,11360,8924,8010
30,13840,12131,9483,8476
