n,Heap 4ary Branchless Parallel,Tournament External Cache Branchless (O3, GCC)
3,1,2
4,1,2
5,2,4
6,4,4
7,5,5
8,6,5
9,7,7
10,7,8
11,8,9
12,8,10
13,9,11
14,10,11
15,10,12
16,11,13
17,12,14
18,12,16
19,13,17
20,14,19
21,14,20
22,17,21
23,19,21
24,20,22
25,22,23
26,24,24
27,26,25
28,27,25
29,29,26
30,31,27
31,32,28
32,33,29
33,34,31
34,35,32
35,36,34
36,36,35
37,38,37
38,37,38
39,38,40
40,39,42
41,39,43
42,40,44
43,41,45
44,41,46
45,42,47
46,42,48
47,43,49
48,44,50
49,45,51
50,45,52
51,46,54
52,47,54
53,48,55
54,49,57
55,49,58
56,50,59
57,51,60
58,51,61
59,52,62
60,53,63
61,54,64
62,54,66
63,55,67
64,56,69
65,57,70
66,58,71
67,59,73
68,60,75
69,61,76
70,61,78
71,61,80
72,62,82
73,63,84
74,64,86
75,65,88
76,66,89
77,66,91
78,67,93
79,68,95
80,69,96
81,70,98
82,70,100
83,71,102
84,72,103
85,74,105
86,77,106
87,79,108
88,81,110
89,83,111
90,87,114
91,88,115
92,91,116
93,93,118
94,96,120
95,97,121
96,100,122
97,101,124
98,104,125
99,106,126
100,108,128
101,110,129
102,113,131
103,115,132
104,117,134
105,119,135
106,122,136
107,124,137
108,126,139
109,128,140
110,131,141
111,133,142
112,135,144
113,136,145
114,139,147
115,141,148
116,144,149
117,146,150
118,149,151
119,152,153
120,153,154
121,156,155
122,160,157
123,161,158
124,164,160
125,166,161
126,169,162
127,172,163
128,173,165
129,175,166
130,178,168
131,180,170
132,182,172
133,184,173
134,187,175
135,189,177
136,190,179
137,192,181
138,195,183
139,195,185
140,198,187
141,199,189
142,201,190
143,202,192
144,204,194
145,205,196
146,207,198
147,209,200
148,209,202
149,211,204
150,212,205
151,213,207
152,215,208
153,215,210
154,216,212
155,217,214
156,218,215
157,220,217
158,221,219
159,222,220
160,223,222
161,224,224
162,225,226
163,226,227
164,227,229
165,228,230
166,230,232
167,230,234
168,231,235
169,232,237
170,232,238
171,234,240
172,236,241
173,237,243
174,237,244
175,238,246
176,240,247
177,241,249
178,241,250
179,242,251
180,243,253
181,244,255
182,245,255
183,246,257
184,247,259
185,249,260
186,249,261
187,250,263
188,251,264
189,253,266
190,253,267
191,254,269
192,255,270
193,257,271
194,259,273
195,258,274
196,259,276
197,263,278
198,261,279
199,262,280
200,263,282
201,264,283
202,265,284
203,267,286
204,268,288
205,268,289
206,269,290
207,270,292
208,271,293
209,272,295
210,273,297
211,275,298
212,276,300
213,277,301
214,277,302
215,278,304
216,280,305
217,281,307
218,281,308
219,282,310
220,283,311
221,284,313
222,285,314
223,286,316
224,287,317
225,288,319
226,289,320
227,290,321
228,292,323
229,293,325
230,294,326
231,294,328
232,295,329
233,296,331
234,297,332
235,298,334
236,299,335
237,300,337
238,301,338
239,302,339
240,303,341
241,305,343
242,305,344
243,307,346
244,308,348
245,309,349
246,331,351
247,310,352
248,312,354
249,313,355
250,334,357
251,315,358
252,315,360
253,316,362
254,317,364
255,319,366
256,319,374
257,321,369
258,322,370
259,323,371
260,324,373
261,325,375
262,326,376
263,327,378
264,327,380
265,329,382
266,329,383
267,331,385
268,332,387
269,333,388
270,335,391
271,335,392
272,336,394
273,337,396
274,338,398
275,339,400
276,340,401
277,341,403
278,342,405
279,343,407
280,345,409
281,345,411
282,346,413
283,347,415
284,348,416
285,350,418
286,350,420
287,350,422
288,352,424
289,353,425
290,354,428
291,355,430
292,356,431
293,357,433
294,357,435
