n,Find SIMD (O2)
3,815
4,1099
5,1407
6,1758
7,2098
8,2610
9,2837
10,3115
11,3455
12,3799
13,4165
14,4558
15,4953
16,5451
17,5495
18,5754
19,6091
20,6436
21,6778
22,7158
23,7572
24,8003
25,8114
26,8373
27,8722
28,9068
29,9289
30,9654
31,10127
32,10560
33,10996
34,11267
35,11698
36,12003
37,12413
38,12813
39,13280
40,13682
41,14162
42,14456
43,14782
44,15173
45,15584
46,16043
47,16479
48,16959
49,18058
50,18387
51,18730
52,19180
53,19598
54,20027
55,20422
56,20907
57,21843
58,22206
59,22615
60,23009
61,23388
62,23877
63,24312
64,24864
65,25928
66,26313
67,26709
68,27143
69,27620
70,28091
71,28533
72,29063
73,29483
74,29914
75,30276
76,30693
77,31213
78,31651
79,32171
80,32600
81,34501
82,34883
83,35353
84,35781
85,36277
86,36743
87,37272
88,37857
89,37177
90,37652
91,38145
92,38566
93,39076
94,39549
95,40060
96,40622
97,42497
98,42964
99,43320
100,43925
