n,Find SIMD (O2),Insert Cache (O3)
3,392,169
4,545,251
5,696,329
6,844,431
7,1013,519
8,1247,660
9,1384,745
10,1518,887
11,1687,971
12,1853,1101
13,2024,1340
14,2202,1529
15,2398,1747
16,2638,1992
17,2617,2141
18,2741,2336
19,2899,2518
20,3058,2648
21,3225,2832
22,3396,3007
23,3577,3211
24,3776,3442
25,3849,3579
26,3968,3771
27,4126,3679
28,4349,3871
29,4456,4123
30,4629,4274
31,4804,4473
32,5064,4611
33,5341,4815
34,5433,5017
35,5605,5407
36,5792,5540
37,5962,5730
38,6156,5911
39,6350,6126
40,6563,6371
41,6754,6570
42,6892,6720
43,7080,6708
44,7270,6988
45,7509,7139
46,7719,7344
47,7868,7549
48,8102,7679
49,8616,7826
50,8762,8098
51,8954,8423
52,9179,8670
53,9346,8920
54,9605,8900
55,9751,9179
56,10027,9324
57,10210,9537
58,10428,9760
59,10615,9881
60,10741,10173
61,10940,10341
62,11206,10557
63,11363,10857
64,11628,10900
65,12097,11111
66,12268,11328
67,12464,11448
68,12661,11633
69,12861,11860
70,13071,12050
71,13290,12289
72,13512,12517
73,14174,12799
74,14262,13010
75,14460,13741
76,14729,13479
77,14939,13654
78,15184,13916
79,15343,14089
80,15663,14157
81,16306,14444
82,16478,14626
83,16670,14812
84,16860,15009
85,17053,15310
86,17334,15369
87,17516,15679
88,17827,15920
89,17666,16154
90,17770,16357
91,18022,17828
92,18235,16941
93,18449,17181
94,18675,17419
95,18834,17642
96,19130,17731
97,20023,18018
98,20159,18320
99,20370,18426
100,20585,18708
