n,Insert Cache (O1),Insert Cache (O3)
3,1,1
4,2,2
5,3,3
6,4,4
7,4,5
8,5,6
9,6,7
10,7,8
11,8,9
12,9,10
13,10,13
14,11,15
15,12,17
16,13,19
17,15,21
18,16,23
19,17,21
20,19,23
21,20,25
22,21,27
23,23,30
24,24,30
25,26,32
26,27,34
27,29,39
28,31,41
29,33,43
30,35,45
31,36,47
32,38,49
33,40,50
34,42,52
35,43,52
36,45,54
37,47,55
38,49,57
39,51,59
40,53,60
41,55,63
42,57,64
43,59,68
44,61,69
45,64,71
46,66,73
47,69,75
48,71,77
49,73,80
50,77,82
51,80,84
52,83,88
53,85,90
54,88,91
55,97,93
56,94,94
57,96,96
58,98,96
59,100,99
60,104,100
61,105,102
62,111,106
63,111,108
64,114,109
65,118,110
66,120,112
67,124,115
68,127,117
69,130,119
70,135,122
71,136,124
72,140,125
73,143,127
74,146,129
75,149,136
76,153,132
77,156,134
78,160,136
79,163,141
80,167,141
81,170,143
82,174,146
83,181,148
84,180,151
85,184,153
86,190,158
87,192,158
88,196,159
89,200,164
90,205,163
91,207,177
92,211,166
93,219,169
94,221,175
95,223,175
96,232,181
97,236,183
98,235,182
99,244,188
100,247,191
101,247,190
102,255,199
103,255,195
104,261,204
105,265,203
106,268,200
107,272,203
108,276,204
109,281,206
110,291,214
111,291,214
112,294,218
113,307,219
114,309,222
115,312,276
116,313,241
117,317,244
118,321,235
119,326,238
120,332,239
121,336,242
122,341,240
123,345,240
124,364,242
125,356,249
126,368,291
127,380,265
128,372,282
129,382,283
130,380,260
131,386,262
132,391,266
133,397,270
134,401,271
135,406,274
136,418,283
137,424,281
138,422,282
139,437,316
140,443,318
141,446,321
142,444,322
143,451,294
144,455,296
145,462,301
146,466,303
147,472,309
148,480,312
149,483,316
150,489,320
151,495,323
152,501,325
153,507,328
154,513,332
155,518,339
156,524,340
157,532,345
158,536,348
159,543,346
160,549,349
161,566,359
162,562,362
163,568,369
164,578,374
165,583,376
166,597,385
167,594,386
168,659,384
169,607,389
170,613,393
171,620,388
172,627,394
173,634,396
174,644,401
175,660,405
176,655,411
177,668,416
178,671,419
179,675,434
180,684,435
181,693,445
182,763,448
183,710,440
184,725,449
185,719,455
186,724,448
187,728,484
188,739,486
189,745,490
190,750,498
191,758,460
192,766,463
193,773,466
194,786,470
195,792,491
196,798,486
197,806,491
198,813,497
199,822,499
200,831,501
201,837,506
202,847,510
203,853,503
204,860,506
205,868,509
206,875,514
207,882,538
208,905,545
209,915,550
210,905,548
211,914,536
212,923,540
213,931,543
214,939,546
215,949,552
216,958,557
217,967,560
218,974,564
219,984,569
220,993,573
221,1002,576
222,1011,580
223,1020,575
224,1037,587
225,1036,582
226,1047,586
227,1053,639
228,1065,642
229,1071,653
230,1081,651
231,1091,610
232,1100,617
233,1110,621
234,1119,624
235,1130,629
236,1140,675
237,1152,664
238,1159,686
239,1169,653
240,1177,664
241,1188,659
242,1198,671
243,1207,697
244,1218,702
245,1225,703
246,1237,713
247,1261,713
248,1326,712
249,1272,707
250,1285,728
251,1303,727
252,1305,726
253,1314,757
254,1338,750
255,1341,765
256,1351,768
257,1364,793
258,1373,792
259,1389,788
260,1399,782
261,1409,801
262,1423,814
263,1431,818
264,1455,838
265,1455,813
266,1465,825
267,1475,838
268,1487,842
269,1504,837
270,1561,853
271,1524,864
272,1535,862
273,1549,866
274,1553,873
275,1570,880
276,1581,875
277,1591,894
278,1598,893
279,1611,898
280,1622,899
281,1632,901
282,1645,909
283,1660,918
284,1667,914
285,1680,921
286,1693,934
287,1701,939
288,1712,935
289,1725,942
290,1737,948
291,1746,957
292,1759,952
293,1770,953
294,1780,978
295,1793,982
296,1809,979
297,1823,984
298,1833,995
299,1842,1000
300,1854,1002
