n,Find SIMD (O2),Insert Cache (O3)
3,394,169
4,545,250
5,696,330
6,843,433
7,1010,521
8,1247,654
9,1384,750
10,1519,879
11,1687,977
12,1853,1108
13,2073,1341
14,2203,1523
15,2398,1736
16,2696,1940
17,2618,2142
18,2741,2337
19,2899,2519
20,3058,2647
21,3225,2831
22,3396,3007
23,3578,3209
24,3779,3446
25,3845,3583
26,4028,3774
27,4126,3670
28,4289,3874
29,4515,4065
30,4630,4328
31,4808,4473
32,5013,4613
33,5299,4815
34,5493,4963
35,5670,5401
36,5836,5536
37,5964,5784
38,6156,5963
39,6348,6190
40,6564,6385
41,6799,6513
42,6946,6721
43,7072,6715
44,7261,6924
45,7449,7187
46,7718,7339
47,7866,7547
48,8097,7684
49,8680,7829
50,8760,8099
51,8941,8385
52,9127,8723
53,9387,8867
54,9553,8923
55,9752,9121
56,10029,9316
57,10220,9591
58,10420,9752
59,10555,9958
60,10745,10168
61,10995,10334
62,11192,10543
63,11414,10797
64,11567,10955
65,12048,11165
66,12214,11391
67,12526,11452
68,12666,11634
69,12874,11951
70,13081,12049
71,13295,12292
72,13513,12509
73,14173,12750
74,14327,13019
75,14458,13724
76,14672,13412
77,14892,13699
78,15172,13898
79,15458,14085
80,15648,14827
81,16310,15112
82,16408,14673
83,16651,14739
84,16819,15023
85,17100,15291
86,17342,15494
87,17515,15691
88,17836,15861
89,17660,16106
90,17813,16367
91,17964,17722
92,18177,17098
93,18446,17335
94,18672,17420
95,18902,17611
96,19146,17747
97,19973,18031
98,20159,18334
99,20366,18435
100,20591,18720
