n,Bubble Sort Fast O2,Insertion Sort Fast O2,Heap O2,State Machine (Compiled) O2,Bubble Sort Fast O3,Insertion Sort Fast O3,Heap 03,State Machine (Compiled) O3
3,2.138204,2.049903,1.987367,1.747376,2.317373,1.974936,2.183001,1.672479
4,3.230158,3.131165,3.141159,2.738507,3.711256,2.994518,3.479027,2.728828
5,4.554044,4.286424,4.289444,3.857518,5.250818,4.046038,4.844203,3.819533
6,5.999590,5.558628,6.077574,5.698782,6.995585,5.124038,6.689362,5.668714
