n,Find (Cache SIMD),Insertion Sort Fast,Heap,Tournament Tree 2
3,39,16,18,22
4,54,26,27,38
5,70,34,37,54
6,85,45,52,66
7,101,56,70,88
8,117,67,81,102
9,126,78,92,127
10,139,89,108,148
11,155,101,128,169
12,170,113,144,180
13,186,126,164,211
14,203,139,188,228
15,219,151,214,246
16,236,163,226,262
17,254,179,239,294
18,267,197,257,323
19,282,214,278,352
20,298,232,296,374
21,315,251,317,399
22,331,270,341,414
23,349,289,366,429
24,366,308,385,443
25,381,328,407,474
26,393,348,433,498
27,413,368,461,520
28,429,384,486,538
29,447,409,514,559
30,463,428,544,577
31,475,449,575,596
32,493,468,589,614
33,522,489,601,650
34,534,510,624,685
35,545,531,644,719
36,559,555,665,751
37,577,577,685,786
38,594,589,712,815
39,621,620,740,845
40,638,642,761,871
41,654,665,781,906
42,666,687,810,935
43,685,707,840,960
44,705,733,868,981
45,722,753,895,1004
46,754,781,928,1027
47,751,807,960,1047
48,771,832,982,1068
49,823,858,1003,1098
50,830,881,1033,1124
51,840,895,1065,1151
52,858,935,1098,1176
53,875,961,1131,1202
54,894,979,1169,1226
55,929,1012,1208,1250
56,948,1034,1237,1269
57,969,1039,1266,1298
58,978,1077,1303,1322
59,1010,1090,1344,1346
60,1027,1129,1380,1369
61,1047,1143,1415,1390
62,1065,1185,1453,1417
63,1073,1196,1492,1438
64,1093,1228,1511,1463
65,1172,1237,1528,1501
66,1185,1256,1551,1540
67,1202,1295,1575,1577
68,1221,1329,1603,1615
69,1222,1352,1625,1654
70,1245,1379,1656,1691
71,1266,1407,1684,1728
72,1287,1427,1708,1764
73,1305,1457,1725,1804
74,1318,1484,1755,1841
75,1335,1515,1785,1878
76,1353,1546,1817,1913
77,1393,1564,1841,1948
78,1413,1592,1877,1980
79,1434,1623,1909,2014
80,1455,1655,1931,2044
81,1505,1679,1956,2080
82,1520,1709,1987,2112
83,1539,1740,2019,2147
84,1558,1774,2058,2176
85,1550,1804,2089,2207
86,1570,1839,2127,2233
87,1590,1868,2168,2259
88,1612,1889,2198,2285
89,1676,1886,2226,2312
90,1690,1959,2264,2340
91,1710,1984,2304,2366
92,1728,2018,2342,2390
93,1775,2054,2379,2418
94,1796,2085,2413,2444
95,1817,2127,2454,2468
96,1841,2155,2478,2493
97,1881,2178,2502,2529
98,1899,2208,2531,2562
99,1918,2247,2560,2593
100,1937,2274,2595,2625
101,1925,2281,2627,2656
102,1946,2351,2661,2686
103,1967,2420,2701,2719
104,1999,2557,2779,2765
105,2098,2705,2920,2815
106,2118,2766,3018,2846
107,2138,2800,3060,2876
108,2159,2849,3107,2908
109,2208,2882,3150,2937
110,2229,2890,3191,2966
111,2252,2953,3241,2995
112,2277,2998,3280,3026
113,2344,3014,3312,3058
114,2368,3083,3347,3087
115,2389,3117,3390,3119
116,2408,3149,3437,3150
117,2380,3217,3480,3179
118,2402,3262,3526,3207
119,2425,3296,3578,3237
120,2449,3332,3620,3266
121,2532,3391,3660,3296
122,2550,3419,3703,3325
123,2569,3466,3754,3354
124,2592,3478,3803,3383
125,2664,3560,3846,3413
126,2686,3610,3894,3440
127,2710,3642,3943,3468
128,2736,3687,3976,3498
129,2780,3683,4000,3539
130,2786,3788,4028,3578
131,2808,3812,4056,3620
132,2794,3861,4093,3662
133,2817,3912,4121,3702
134,2891,3977,4156,3742
135,2915,4014,4192,3783
136,2881,4060,4226,3824
137,3027,4088,4254,3866
138,3058,4138,4289,3907
139,3081,4192,4327,3949
140,3102,4246,4363,3989
141,3129,4279,4397,4030
142,3155,4346,4436,4071
143,3181,4386,4476,4112
144,3205,4357,4510,4151
145,3252,4424,4535,4194
146,3319,4574,4569,4235
147,3343,4614,4612,4276
148,3366,4658,4639,4316
149,3393,4718,4681,4356
150,3418,4770,4721,4395
151,3446,4823,4760,4436
152,3474,4866,4800,4474
153,3599,4930,4822,4515
154,3509,4990,4873,4554
155,3531,4975,4912,4594
156,3559,5098,4956,4633
157,3586,5139,4989,4671
158,3614,5186,5034,4706
159,3640,5187,5086,4744
160,3671,5322,5129,4780
161,3761,5354,5143,4823
162,3954,5442,5178,4861
163,3980,5517,5214,4902
164,4012,5574,5251,4943
165,4041,5636,5287,4983
166,4078,5695,5328,5021
167,4112,5523,5388,5061
168,4146,5721,5416,5103
169,4278,5869,5450,5143
170,4100,5839,5513,5178
171,4128,5993,5542,5215
172,4154,6045,5585,5250
173,4180,6115,5633,5284
174,4208,6084,5673,5317
175,4238,6195,5761,5353
176,4265,6163,5786,5385
177,4453,6181,5807,5419
178,4659,6402,5846,5450
179,4687,6343,5921,5485
180,4715,6522,5941,5516
181,4747,6600,6009,5549
182,4772,6639,6039,5582
183,4806,6621,6108,5613
184,4834,6781,6126,5644
185,4946,6839,6175,5676
186,4729,6829,6225,5706
187,4758,6742,6283,5739
188,4786,6879,6338,5772
189,4808,6994,6381,5802
190,4838,7159,6452,5835
191,4869,7157,6476,5862
192,4894,7229,6515,5893
193,5211,7316,6545,5936
194,5425,7424,6583,5972
195,5456,7481,6610,6008
196,5484,7559,6657,6045
197,5517,7623,6690,6084
198,5548,7679,6727,6120
199,5580,7734,6784,6158
200,5614,7736,6822,6198
201,5609,7869,6856,6232
202,5473,7963,6898,6271
203,5501,8028,6917,6307
204,5525,8079,6966,6347
205,5556,8118,7016,6382
206,5588,8229,7067,6421
207,5598,8209,7128,6458
208,5630,8097,7171,6491
209,5650,8437,7195,6526
210,5895,8464,7231,6561
211,5925,8484,7285,6596
212,5959,8575,7316,6632
213,5984,8712,7358,6668
214,6017,8703,7419,6702
215,6056,8822,7469,6736
216,6083,8782,7505,6771
217,6216,8988,7558,6810
218,5993,9008,7593,6841
219,6025,8945,7650,6876
220,6051,9171,7719,6910
221,6080,9285,7745,6945
222,6110,9272,7818,6980
223,6142,9124,7863,7016
224,6169,9505,7926,7051
