n,State Machine Var (O1),State Machine Var (O2),State Machine Var (O3),State Machine Var (Os),State Machine Var (Oz)
3,1561,1593,1535,1577,1473
4,2437,2406,2417,2347,2407
5,3401,3373,3374,3360,3376
6,4777,4906,4920,4932,4902
