n,Find (Cache SIMD),Insert,Insert (Cache),Heap,Tournament Tree 2,State Machine (Compiled)
226,655,976,1175,780,720,0
227,665,1000,1174,792,727,0
228,670,995,1203,796,736,0
229,677,959,1198,804,733,0
230,667,1010,1206,807,742,0
231,670,1033,1227,808,744,0
232,685,1029,1216,821,749,0
233,664,1028,1242,811,745,0
234,663,1033,1277,816,747,0
235,675,1046,1244,829,759,0
236,678,1062,1277,836,763,0
237,680,1069,1284,841,761,0
238,683,1124,1282,845,767,0
239,685,1076,1291,843,773,0
240,688,1083,1301,850,774,0
241,719,1092,1320,859,778,0
242,724,1104,1323,873,785,0
243,721,1109,1332,867,782,0
244,734,1126,1350,875,799,0
245,729,1127,1361,877,789,0
246,738,1143,1377,892,806,0
247,740,1155,1388,889,807,0
248,748,1157,1395,905,809,0
249,770,1172,1408,896,807,0
250,774,1222,1407,906,811,0
251,778,1180,1426,905,819,0
252,781,1184,1425,909,815,0
253,783,1189,1440,913,821,0
254,792,1211,1456,932,828,0
255,795,1218,1473,930,828,0
256,798,1226,1480,942,835,0
257,779,1240,1492,946,844,0
258,817,1227,1494,932,834,0
259,833,1236,1509,934,839,0
260,789,1246,1524,938,844,0
261,794,1254,1536,941,846,0
262,827,1263,1604,946,851,0
263,836,1272,1557,950,856,0
264,812,1279,1566,952,861,0
265,831,1290,1582,961,867,0
266,876,1298,1593,961,870,0
267,876,1308,1603,966,875,0
268,838,1317,1614,969,879,0
269,849,1325,1629,973,885,0
270,882,1335,1639,977,889,0
271,882,1344,1648,982,893,0
272,858,1404,1661,985,897,0
273,871,1362,1679,988,903,0
274,910,1372,1684,993,906,0
275,918,1382,1694,1065,912,0
276,881,1389,1710,1001,916,0
277,886,1399,1722,1005,921,0
278,921,1409,1734,1014,982,0
279,922,1419,1745,1014,929,0
280,897,1436,1757,1018,933,0
281,973,1440,1768,1023,940,0
282,961,1449,1780,1027,943,0
283,967,1458,1789,1034,946,0
284,920,1468,1803,1035,953,0
285,924,1478,1875,1041,956,0
286,963,1487,1828,1044,967,0
287,967,1498,1838,1051,967,0
288,939,1507,1861,1052,970,0
289,959,1473,1862,1038,971,0
290,1004,1457,1870,1007,973,0
291,1012,1443,1929,1011,976,0
292,960,1415,1893,1052,979,0
293,961,1386,1905,978,980,0
294,1001,1408,1916,988,985,0
295,1001,1405,1927,1042,988,0
296,967,1427,1939,1014,999,0
297,980,1455,1950,1036,1001,0
298,1037,1473,1963,1041,1054,0
299,1043,1484,1974,1046,1009,0
300,989,1495,1985,1053,1015,0
301,993,1500,2001,1055,1075,0
302,1037,1514,2013,1060,1027,0
303,1042,1524,2027,1066,1026,0
304,1011,1517,2039,1133,1031,0
305,1031,1544,2050,1073,1036,0
306,1087,1551,2062,1078,1039,0
307,1088,1616,2076,1082,1045,0
308,1040,1574,2089,1087,1048,0
309,1046,1583,2104,1092,1053,0
310,1090,1596,2169,1097,1058,0
311,1100,1604,2126,1103,1066,0
312,1059,1614,2142,1109,1065,0
313,1090,1625,2202,1110,1070,0
314,1140,1634,2166,1118,1075,0
315,1196,1644,2179,1121,1080,0
316,1096,1655,2194,1126,1084,0
317,1101,1665,2207,1132,1093,0
318,1145,1732,2220,1135,1094,0
319,1154,1686,2235,1193,1099,0
320,1116,1694,2244,1145,1102,0
321,1124,1705,2257,1148,1104,0
322,1174,1715,2272,1152,1110,0
323,1178,1723,2284,1156,1115,0
324,1175,1740,2301,1163,1119,0
325,1133,1749,2312,1165,1124,0
326,1182,1761,2325,1170,1129,0
327,1184,1759,2397,1176,1139,0
328,1149,1781,2353,1179,1137,0
329,1167,1793,2375,1238,1142,0
330,1219,1800,2379,1188,1147,0
331,1226,1809,2393,1206,1154,0
332,1174,1823,2435,1199,1161,0
333,1179,1835,2420,1206,1162,0
334,1222,1844,2432,1207,1224,0
335,1228,1855,2444,1213,1166,0
336,1193,1867,2459,1219,1172,0
337,1209,1856,2532,1221,1176,0
338,1258,1885,2486,1227,1181,0
339,1259,1896,2502,1233,1244,0
340,1218,1911,2514,1236,1188,0
341,1279,1922,2529,1240,1193,0
342,1265,1932,2541,1246,1197,0
343,1267,1942,2557,1251,1203,0
344,1234,2007,2570,1257,1204,0
345,1251,1966,2585,1260,1210,0
346,1302,1979,2596,1268,1272,0
347,1317,1988,2611,1272,1217,0
348,1260,2000,2626,1280,1221,0
349,1262,2011,2641,1283,1224,0
350,1306,2024,2655,1289,1229,0
351,1310,2094,2669,1295,1233,0
352,1278,2046,2682,1300,1240,0
353,1302,2057,2696,1306,1242,0
354,1348,2065,2712,1308,1247,0
355,1352,2078,2724,1313,1251,0
356,1306,2090,2739,1319,1256,0
357,1309,2102,2755,1323,1259,0
358,1356,2114,2814,1329,1262,0
359,1357,2125,2781,1334,1266,0
360,1323,2182,2798,1340,1269,0
361,1347,2150,2814,1349,1275,0
362,1400,2161,2826,1415,1280,0
363,1405,2172,2841,1355,1284,0
364,1405,2186,2860,1362,1291,0
365,1383,2198,2870,1364,1291,0
366,1404,2207,2920,1370,1295,0
367,1408,2221,2900,1377,1299,0
368,1373,2230,2917,1383,1303,0
369,1389,2242,2987,1386,1307,0
370,1446,2254,2944,1391,1315,0
371,1451,2322,2959,1396,1314,0
372,1397,2276,2975,1405,1319,0
373,1399,2304,2989,1429,1323,0
374,1455,2306,3004,1413,1331,0
375,1458,2319,3019,1477,1335,0
376,1416,2330,3036,1424,1338,0
377,1435,2344,3050,1430,1385,0
378,1498,2209,3068,1441,1346,0
379,1556,2367,3080,1443,1349,0
380,1440,2336,3098,1447,1353,0
381,1445,2392,3111,1452,1408,0
382,1503,2405,3126,1458,1361,0
383,1505,2419,3142,1464,1409,0
384,1461,2433,3160,1468,1366,0
385,1539,2442,3174,1473,1373,0
386,1551,2461,3187,1475,1378,0
387,1554,2453,3205,1483,1440,0
388,1489,2481,3220,1486,1390,0
389,1492,2495,3243,1544,1391,0
390,1560,2508,3251,1502,1397,0
391,1563,2575,3270,1501,1400,0
392,1507,2534,3283,1507,1403,0
393,1530,2606,3297,1510,1407,0
394,1609,2563,3314,1516,1410,0
395,1612,2573,3373,1521,1413,0
396,1538,2575,3348,1527,1418,0
397,1543,2596,3414,1532,1421,0
398,1614,2613,3380,1549,1448,0
399,1619,2627,3394,1541,1434,0
400,1556,2641,3411,1547,1437,0
401,1589,2653,3425,1551,1441,0
402,1731,2665,3441,1556,1445,0
403,1675,2679,3457,1561,1449,0
404,1596,2692,3475,1616,1452,0
405,1601,2705,3491,1574,1455,0
406,1678,2775,3507,1578,1466,0
407,1687,2708,3542,1591,1467,0
408,1616,2745,3538,1589,1472,0
409,1640,2760,3556,1596,1473,0
410,1735,2775,3574,1597,1479,0
411,1738,2789,3589,1604,1480,0
412,1647,2778,3609,1610,1487,0
413,1654,2813,3683,1616,1489,0
414,1798,2828,3640,1622,1493,0
415,1742,2843,3654,1626,1502,0
416,1671,2860,3674,1683,1505,0
417,1692,2871,3696,1636,1505,0
418,1790,2895,3705,1653,1516,0
419,1796,2898,3721,1647,1517,0
420,1699,2911,3740,1709,1517,0
421,1707,2926,3757,1658,1522,0
422,1797,2949,3773,1663,1527,0
423,1802,2955,3794,1683,1531,0
424,1719,2969,3808,1674,1535,0
425,1751,2951,3824,1680,1577,0
426,1854,3005,3841,1685,1542,0
427,1857,3011,3918,1693,1549,0
428,1759,3026,3875,1698,1551,0
429,1761,3040,3892,1713,1558,0
430,1854,3111,3914,1709,1563,0
431,1860,3073,3926,1716,1569,0
432,1777,3081,4005,1721,1570,0
433,1881,3099,3963,1728,1574,0
434,1913,3113,3981,1739,1578,0
435,1918,3129,3997,1740,1584,0
436,1822,3148,4016,1744,1585,0
437,1826,3157,4087,1749,1588,0
438,1979,3170,4050,1758,1597,0
439,1927,3191,4068,1762,1599,0
440,1842,3191,4087,1768,1602,0
441,1872,3218,4104,1773,1604,0
442,1972,3233,4118,1779,1610,0
443,1982,3305,4139,1790,1614,0
444,1881,3262,4161,1792,1616,0
445,1887,3278,4174,1798,1619,0
446,1976,3294,4190,1851,1628,0
447,1981,3302,4209,1813,1632,0
448,1901,3326,4285,1815,1633,0
449,1976,3397,4246,1820,1641,0
450,2084,3358,4260,1825,1641,0
451,2092,3371,4332,1830,1650,0
452,1984,3390,4298,1874,1649,0
453,1988,3405,4320,1842,1653,0
454,2097,3419,4392,1847,1660,0
455,2103,3434,4352,1911,1661,0
456,2005,3450,4375,1859,1665,0
457,2061,3467,4390,1864,1673,0
458,2171,3496,4406,1889,1680,0
459,2230,3498,4430,1875,1683,0
460,2072,3519,4463,1880,1688,0
461,2078,3538,4473,1889,1688,0
462,2176,3551,4489,1893,1693,0
463,2182,3562,4505,1900,1756,0
464,2093,3620,4520,1921,1703,0
465,2128,3612,4540,1927,1707,0
466,2236,3609,4555,1916,1710,0
467,2238,3686,4574,1922,1715,0
468,2195,3610,4599,1928,1718,0
469,2141,3648,4610,1937,1718,0
470,2244,3733,4632,1938,1723,0
471,2249,3681,4649,1999,1729,0
472,2156,3690,4671,1952,1732,0
473,2138,3724,4713,1957,1739,0
474,2249,3801,4707,1964,1739,0
475,2258,3755,4728,1973,1772,0
476,2156,3774,4749,1977,1747,0
477,2156,3786,4804,1982,1756,0
478,2248,3867,4786,1995,1757,0
479,2300,3825,4803,1997,1759,0
480,2174,3835,4819,2003,1762,0
481,2129,3853,4871,2006,1770,0
482,2227,3916,4858,2013,1775,0
483,2284,3884,4884,2018,1775,0
484,2141,3904,4900,2025,1780,0
485,2146,3922,4971,2029,1789,0
486,2229,3925,4935,2035,1792,0
487,2235,3952,4956,2048,1811,0
488,2160,3970,4976,2048,1800,0
489,2178,3981,4990,2052,1800,0
490,2312,3996,5015,2059,1805,0
491,2288,4019,5031,2065,1812,0
492,2191,4036,5112,2072,1813,0
493,2194,4108,5075,2077,1815,0
494,2338,4076,5104,2085,1824,0
495,2283,4088,5112,2089,1830,0
496,2209,4105,5199,2096,1829,0
497,2232,4173,5155,2103,1833,0
498,2334,4126,5174,2111,1899,0
499,2339,4140,5191,2112,1844,0
500,2244,4175,5272,2119,1849,0
