n,Find SIMD (O2)
3,982
4,1389
5,1778
6,2128
7,2570
8,3200
9,3600
10,3948
11,4326
12,4824
13,5230
14,5762
15,6236
16,6881
17,6895
18,7289
19,7732
20,8112
21,8572
22,9064
23,9568
24,10143
25,10375
26,10784
27,11219
28,11623
29,12144
30,12567
31,13153
32,13659
33,13999
34,14407
35,14766
36,15271
37,15753
38,16256
39,16761
40,17340
41,18222
42,18592
43,19090
44,19641
45,20128
46,20626
47,21155
48,21748
49,22757
50,23161
51,23662
52,23934
53,24584
54,25348
55,25812
56,26481
57,27664
58,28548
59,29068
60,29623
61,30149
62,30734
63,31398
64,32003
65,32510
66,33015
67,33513
68,34060
69,34685
70,35301
71,35875
72,36491
73,38293
74,38707
75,39365
76,39947
77,40466
78,42007
79,42233
80,42832
81,44046
82,44685
83,44798
84,45662
85,46408
86,46985
87,47282
88,48247
89,48411
90,49557
91,50046
92,50496
93,50790
94,51634
95,52035
96,52820
97,52898
98,53421
99,54075
100,56263
