n,Find SIMD (O2),Insert Cache (O3)
3,399,169
4,545,250
5,733,329
6,862,427
7,1031,520
8,1271,658
9,1382,747
10,1519,887
11,1687,966
12,1852,1109
13,2025,1341
14,2202,1573
15,2398,1736
16,2638,1935
17,2616,2144
18,2741,2336
19,2900,2523
20,3068,2708
21,3226,2832
22,3397,3066
23,3578,3213
24,3777,3390
25,3845,3579
26,3970,3774
27,4129,3712
28,4289,3870
29,4458,4067
30,4641,4334
31,4805,4473
32,5063,4624
33,5295,4816
34,5433,4965
35,5608,5407
36,5788,5539
37,5966,5733
38,6152,5911
39,6353,6125
40,6563,6318
41,6759,6508
42,6947,6715
43,7129,6708
44,7258,6964
45,7455,7197
46,7661,7341
47,7915,7547
48,8145,7616
49,8619,7891
50,8826,8089
51,8947,8437
52,9130,8667
53,9368,8864
54,9544,8897
55,9751,9121
56,9977,9314
57,10210,9584
58,10417,9754
59,10555,9940
60,10741,10168
61,11006,10335
62,11145,10539
63,11350,10852
64,11572,10964
65,12051,11162
66,12278,11329
67,12456,11451
68,12665,11627
69,12846,11906
70,13076,12103
71,13264,12286
72,13516,12509
73,14177,12738
74,14267,13001
75,14519,13724
76,14729,13414
77,14903,13702
78,15179,13890
79,15406,14086
80,15586,14202
81,16306,14443
82,16408,14666
83,16676,14748
84,16855,15068
85,17097,15250
86,17332,15421
87,17574,15687
88,17839,15867
89,17649,16220
90,17896,16358
91,18035,17766
92,18228,16949
93,18452,17187
94,18658,17427
95,18845,17658
96,19142,17746
97,19965,18024
98,20092,18323
99,20372,18423
100,20631,18725
