n,Find,Find Cache,Find Pair,Find Multiway,Find Multiway Cache,Find Multiway Var,Find Branchless Cache,Find SIMD
3,1998,1971,1957,1730,1624,1677,1424,3512
4,3152,3005,3022,2745,2774,2481,2022,4859
5,4501,4067,4121,3961,4371,3802,2672,5817
6,5919,5290,5312,5612,6128,5591,3435,6979
