n,Find SIMD (O2),Insert Cache (O3)
3,398,169
4,545,251
5,696,330
6,862,430
7,1043,519
8,1271,660
9,1385,752
10,1522,878
11,1687,969
12,1912,1107
13,2024,1341
14,2202,1528
15,2447,1737
16,2638,1938
17,2616,2141
18,2742,2394
19,2900,2520
20,3111,2647
21,3224,2831
22,3397,3045
23,3578,3211
24,3778,3392
25,3847,3581
26,3966,3831
27,4128,3673
28,4292,3868
29,4457,4127
30,4630,4275
31,4807,4473
32,5068,4611
33,5298,4820
34,5434,4964
35,5604,5411
36,5777,5540
37,5968,5734
38,6152,5915
39,6351,6124
40,6575,6316
41,6808,6515
42,6950,6715
43,7153,6708
44,7261,6980
45,7449,7140
46,7659,7343
47,7924,7546
48,8094,7670
49,8667,7838
50,8821,8085
51,8944,8383
52,9192,8665
53,9329,8914
54,9604,8908
55,9750,9123
56,10029,9315
57,10268,9582
58,10372,9808
59,10564,9944
60,10797,10128
61,10944,10336
62,11144,10604
63,11358,10861
64,11565,10908
65,12088,11105
66,12267,11329
67,12410,11461
68,12662,11634
69,12861,11849
70,13056,12047
71,13296,12290
72,13457,12571
73,14126,12754
74,14325,12960
75,14461,13722
76,14685,13484
77,14957,13702
78,15125,13860
79,15354,14137
80,15637,14162
81,16253,14449
82,16416,14682
83,16615,14797
84,16886,15012
85,17110,15312
86,17330,15371
87,17525,15749
88,17836,15876
89,17676,16160
90,17834,16410
91,18023,17776
92,18174,16966
93,18449,17129
94,18680,17374
95,18904,17606
96,19137,17693
97,19977,17966
98,20149,18278
99,20372,18429
100,20655,18715
