n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
203,6065,4466,5336,5577,5548
204,6204,4487,5369,5613,5574
205,6078,4508,5405,5644,5602
206,6233,4527,5445,5685,5639
207,6167,4553,5920,5723,5659
208,6303,4573,5968,5754,5688
209,6269,4702,6006,5783,5717
210,6438,4723,6045,5821,5745
211,6345,4747,5634,5854,5774
212,6451,4771,5667,5893,5802
213,6431,4790,5702,5920,5834
214,6548,4812,5737,5964,5858
215,6432,4835,5773,6003,5888
216,6612,4863,5828,6041,5917
217,6495,5372,5873,6070,5945
218,6697,5394,5900,6115,5972
219,6618,5418,5876,6148,6000
220,6790,5446,5930,6188,6027
221,6673,5469,5966,6222,6054
222,6918,5498,6004,6265,6077
223,6660,5520,6229,6299,6117
224,6857,5549,6273,6333,6142
225,6797,5634,6313,6352,6167
226,6909,5653,6357,6392,6191
227,6832,5682,6170,6418,6220
228,6999,5715,6224,6457,6252
229,6880,5737,6261,6487,6279
230,7154,5761,6299,6524,6306
231,7013,5782,6337,6560,6339
232,7225,5809,6372,6594,6361
233,7012,5682,6405,6624,6391
234,7185,5703,6441,6673,6412
235,7130,5730,7044,6701,6443
236,7299,5757,7075,6746,6472
237,7241,5780,7110,6774,6500
238,7359,5805,7157,6820,6534
239,7234,5834,6952,6860,6559
240,7422,5871,7028,6894,6594
241,7266,5991,7073,6924,6624
242,7506,6021,7120,6970,6651
243,7361,6062,6891,7002,6684
244,7627,6100,6937,7049,6719
245,7505,6133,6984,7082,6758
246,7776,6176,7041,7132,6787
247,7560,6208,7084,7181,6822
248,7714,6237,7161,7228,6852
249,7583,6754,7208,7266,6886
250,7842,6780,7254,7314,6918
251,7643,6808,7488,7350,6946
252,7890,6862,7555,7394,6977
253,7723,6880,7589,7431,7003
254,7988,6893,7651,7475,7033
255,7790,6933,7389,7519,7061
256,7980,6980,7446,7546,7088
257,7882,6772,7519,7572,7135
258,8060,6795,7544,7607,7181
259,7965,6820,7605,7624,7225
260,8238,6872,7767,7668,7270
261,7974,6887,7791,7685,7307
262,8207,6951,7746,7722,7348
263,8058,7007,7800,7755,7386
264,8221,7068,7942,7790,7430
265,8179,7258,7984,7804,7476
266,8377,7318,8055,7856,7519
267,8265,7352,8101,7872,7563
268,8373,7370,8276,7914,7608
269,8277,7428,8289,7938,7662
270,8466,7537,8169,7978,7699
271,8369,7658,8229,8015,7744
272,8547,7622,8412,8044,7785
273,8430,7839,8559,8062,7842
274,8622,7946,8495,8105,7881
275,8424,8026,8588,8125,7927
276,8649,8126,8816,8166,7970
277,8586,8125,8930,8196,8010
278,8881,8104,8672,8231,8052
279,8555,8216,8783,8266,8099
280,8771,8324,8983,8309,8141
281,8736,8504,9198,8335,8186
282,8954,8571,9158,8372,8234
283,8748,8600,9269,8400,8271
284,8942,8665,9571,8441,8318
285,8814,8677,9626,8469,8360
286,8985,8704,9315,8507,8411
287,8957,8751,9508,8543,8446
288,9046,8778,9775,8579,8498
289,8892,8967,9858,8589,8541
290,9237,9008,9773,8631,8585
291,9061,9032,9861,8654,8630
292,9190,9067,10066,8694,8677
293,9065,9093,10154,8746,8720
294,9284,9124,9996,8759,8774
295,9136,9158,10118,8793,8799
296,9327,9180,10247,8829,8843
297,9219,9371,10343,8851,8900
298,9529,9391,10324,8899,8946
299,9305,9435,10357,8927,8978
300,9479,9468,10560,9001,9016
301,9335,9485,10610,9002,9067
302,9545,9524,10581,9039,9116
303,9442,9551,10631,9072,9160
304,9738,9595,10788,9117,9199
305,9502,9766,10827,9137,9231
306,9849,9798,10793,9181,9282
307,9590,9847,10837,9209,9330
308,9827,9856,10990,9253,9367
309,9733,9897,11034,9290,9415
310,9866,9921,11041,9328,9452
311,9664,9954,11056,9371,9495
312,9849,10004,11220,9424,9541
313,9864,10185,11270,9435,9594
314,10165,10212,11208,9501,9622
315,9855,10250,11286,9530,9666
316,10086,10276,11439,9569,9706
317,9897,10312,11513,9606,9755
318,10095,10337,11439,9655,9804
319,10020,10384,11497,9685,9834
320,10212,10404,11644,9720,9889
321,10038,10608,11740,9741,9914
322,10233,10628,11660,9794,9953
323,10204,10660,11715,9831,10004
324,10379,10688,11882,9859,10024
325,10206,10729,11954,9883,10070
326,10511,10763,11871,9925,10109
327,10286,10779,11955,9955,10139
328,10437,10822,12106,10013,10176
329,10363,11001,12167,10018,10211
